district_id,district_name,attendance_rate,chronic_absenteeism_rate,dropout_rate,student_count,econ_disadv_pct,eb_el_pct,special_ed_pct,at_risk_pct,hispanic_pct,african_american_pct,white_pct,math_meets_pct,reading_meets_pct
014905,HOLLAND ISD,96.1,6.7,0.0,646,36.4,4.5,14.9,30.2,26.6,2.2,68.0,68.0,69.0
014906,KILLEEN ISD,93.2,21.9,1.7,42854,61.9,12.7,20.4,52.7,34.7,33.8,16.7,35.0,47.0
014907,ROGERS ISD,95.5,11.6,0.7,891,44.0,9.1,18.3,47.8,36.9,0.8,58.7,39.0,51.0
014908,SALADO ISD,94.5,14.2,0.0,2421,21.1,6.1,12.6,27.9,27.0,1.2,66.3,54.0,67.0
014909,TEMPLE ISD,92.6,24.8,0.7,8712,71.5,15.6,20.7,57.8,49.0,21.9,20.6,38.0,44.0
014910,TROY ISD,95.6,9.9,0.0,1728,49.3,5.0,19.9,42.9,34.8,1.6,58.4,49.0,56.0
015801,POR VIDA ACADEMY,79.7,76.4,9.5,175,78.3,5.7,19.4,100.0,86.3,1.7,8.0,9.0,28.0
015802,GEORGE GERVIN ACADEMY,91.3,39.8,0.0,865,100.0,20.7,9.2,98.7,57.7,37.2,2.4,9.0,18.0
015805,NEW FRONTIERS PUBLIC SCHOOLS INC,94.0,19.1,0.0,303,52.1,11.2,6.3,47.5,94.7,1.0,3.3,16.0,66.0
015806,LEGACY TRADITIONAL SCHOOLS - TEXAS,92.6,26.9,2.6,2186,51.8,9.8,9.0,26.3,52.8,19.2,16.7,31.0,53.0
015807,SOUTHWEST PREPARATORY SCHOOL,90.0,41.3,0.4,839,75.4,9.9,18.1,85.9,68.7,10.5,17.9,13.0,32.0
015808,INSPIRE ACADEMIES,93.0,24.8,6.5,805,48.8,5.6,23.0,26.8,52.0,10.4,31.8,26.0,51.0
015809,BEXAR COUNTY ACADEMY,90.5,42.4,,153,59.5,22.2,14.4,28.1,89.5,5.2,4.6,14.0,21.0
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,76.5,79.7,19.2,93,94.6,8.6,32.3,100.0,97.8,2.2,0.0,0.0,13.0
015815,HERITAGE ACADEMY,95.2,10.7,2.6,589,87.6,63.3,12.4,97.8,83.4,8.5,4.2,55.0,55.0
015822,JUBILEE ACADEMIES,92.3,28.1,0.4,5140,86.9,31.8,11.6,67.1,93.1,1.8,3.4,31.0,40.0
015825,LIGHTHOUSE PUBLIC SCHOOLS,88.3,46.9,3.0,462,88.7,31.6,19.5,82.9,86.8,4.5,6.1,15.0,30.0
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,94.3,15.5,0.0,5602,56.7,19.9,12.8,41.6,62.0,17.3,13.5,52.0,67.0
015828,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,93.3,20.9,0.0,4803,80.5,45.3,11.7,65.4,85.3,5.6,5.1,43.0,51.0
015830,SOMERSET ACADEMIES OF TEXAS,91.7,32.0,0.4,2604,73.5,11.7,16.1,57.6,84.3,5.3,6.3,23.0,43.0
015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,94.2,17.4,0.0,6084,64.4,17.1,14.8,43.6,64.5,16.8,10.5,51.0,67.0
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,86.0,53.5,10.7,61,39.3,1.6,31.1,47.5,77.0,4.9,16.4,14.0,45.0
015834,BASIS TEXAS,95.6,8.9,0.0,7092,2.8,14.9,4.4,27.8,21.7,5.9,14.2,76.0,85.0
015835,GREAT HEARTS TEXAS,95.2,11.6,1.5,12926,25.4,11.4,12.3,32.5,40.3,7.1,35.0,46.0,66.0
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,94.9,10.7,,486,12.8,10.9,9.7,23.7,55.3,1.2,34.8,63.0,81.0
015838,COMPASS ROSE PUBLIC SCHOOLS,90.8,36.4,9.9,3975,73.1,25.1,15.2,67.5,67.6,10.0,14.1,24.0,35.0
015839,PROMESA ACADEMY CHARTER SCHOOL,89.8,42.1,,248,59.7,7.3,23.8,10.1,89.1,4.0,5.6,25.0,33.0
015840,SAN ANTONIO STEAM ACADEMY,91.9,26.8,1.1,139,0.0,0.0,11.5,3.6,33.8,57.6,2.9,4.0,34.0
015841,THE GATHERING PLACE,90.7,35.0,,555,61.4,2.2,29.9,28.1,63.8,7.2,23.8,14.0,36.0
